cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
mens beach shorts,男式沙滩短裤,,0.06%,自然搜索词/SP广告词,983 ,1.0,B0C2H3D3T2,"121,118","16,197 ","3,072 ",18.97%,"420,272 ","7,369 ",70 ,0.0,"7,182 ",2.3,46 ,6.8%,1.1%,$1.29,$0.98 - $1.62,B08S7L2S99,2.7%,0.2%,B0CRZBSC63,2.3%,0.5%,B08S77BPSD,1.7%,0.5%,"B08S7L2S99,B0CRZBSC63,B0BLN5HZTP,B0BLKKYR1J,B0C69C5QDT,B09XM3GM32,B0BKG2Y174,B09T9Q5JZX,B0BV96JFYR,B0BKGK2H9F","Beach, Shorts"
business casual outfits for men,男士商务休闲装,,0.06%,自然搜索词,982 ,4.0,B087DXNJFV/B087F6HJHW/B087F14JLF/B0CHFG1KHT,"322,258","4,148 ",119 ,2.88%,"92,409 ","1,658 ",3 ,0.0,"3,585 ",1.2,21 ,11.3%,2.2%,,-,B01JQTJFAG,4.6%,0.0%,B07BJKY8LC,3.5%,1.1%,B0B1TRDM6H,3.3%,1.1%,"B0B1TRDM6H,B07BJKY8LC,B0BV257YG8,B01JQTJFAG,B00QNAKJB6,B077Q5QHWP,B0BR5Q61SR,B0CHHZ2HQ3,B09Q5DYY7P,B0CBC6P66S","Casual, Business Casual"
stretch dress shirts for men,男士弹力衬衫,,0.06%,自然搜索词,955 ,2.0,B087DXNJFV/B0CHFG1KHT,"599,113","2,438 ",74 ,3.05%,"63,078 ","1,117 ",2 ,1.0,"2,402 ",1.0,20 ,16.5%,4.6%,$1.76,$1.33 - $2.21,B09JFSPVMH,5.9%,0.9%,B0CN134S9T,5.7%,1.8%,B09JFR8HTV,4.9%,1.8%,"B09JFSPVMH,B0CN15P53X,B0CJHPSJNF,B07RJTC291,B0C84Q7RTQ,B06X3Q8YJT,B0CQXL8RCY,B07CMKFSS9,B0CHJS748F,B0CC2GPR2H","Dress Shirt, Dress, Stretch"
beach wear for men,男士沙滩装,,0.06%,自然搜索词/SP广告词,946 ,1.0,B0C2H3D3T2,"304,363","6,122 ",26 ,0.43%,"152,328 ","2,675 ",1 ,0.0,"20,249 ",0.3,16 ,7.8%,0.7%,$1.08,$0.81 - $1.35,B0C22WF5NF,3.4%,0.0%,B0BV241H3F,2.3%,0.7%,B08ZSR5FCH,2.1%,0.0%,"B0BV241H3F,B08FHQVRH8,B0CMH23KSN,B08ZSR5FCH,B0CL6V2Y17,B09QCV54BN,B0C22WF5NF,B0CT2W8Z2T,B07GKBY7QG,B0CRQH6MHL",Beach
summer clothes for men,男士夏装,,0.06%,自然搜索词/SP广告词,944 ,1.0,B0C2H3D3T2,"311,898","7,054 ",7 ,0.10%,"185,405 ","2,881 ",1 ,0.0,"54,088 ",0.1,16 ,6.7%,1.5%,$0.81,$0.62 - $1.01,B0C22WF5NF,2.7%,0.7%,B0BNDJD1CS,2.2%,0.0%,B0CNWZQKY8,1.8%,0.7%,"B0CL6V2Y17,B0BLYW28BB,B0BNDJD1CS,B07VCCQZZF,B0BLKKW3M4,B08D351XLH,B08R6H6JBB,B0BFDSB9YG,B0CMH23KSN,B0CL7D3W9J",Summer
button down shirt men long sleeve,纽扣衬衫男士长袖,,0.06%,自然搜索词/SP广告词,944 ,3.0,B0CHFG1KHT/B087DXNJFV/B0CHFJ35WM,"409,446","4,302 ",153 ,3.57%,"125,718 ","1,669 ",4 ,0.0,"5,841 ",0.7,35 ,8.9%,0.7%,,-,B0B28SWXWP,3.9%,0.7%,B0775YF8BH,2.6%,0.0%,B0775YR7JS,2.4%,0.0%,"B0B28SWXWP,B0775YR7JS,B000PHG4N0,B09JFSQB2Z,B06XWQ82LM,B0CQX3HSQ4,B0C49Y4YXF,B079ZQRFF1,B07BN248M3,B079PQ6DGZ","Shirt, Long Sleeve, Button, Long, Sleeve"
men fashion,男装,,0.06%,自然搜索词,925 ,1.0,B0C2H3D3T2,"309,825","5,751 ",2 ,0.05%,"165,419 ","2,446 ",1 ,0.0,"78,293 ",0.1,125 ,5.6%,0.0%,$0.88,$0.67 - $1.11,B0BND82T5M,2.2%,0.0%,B0CNSVJGBV,1.8%,0.0%,B0713NTMBQ,1.7%,0.0%,"B0BLYXM1XB,B0CMZKN31G,B077ZKDQLV,B0CNSVJGBV,B071JYV6LN,B09H35K95N,B0CL6T64BG,B004HTQ93W,B0713NTMBQ,B0CPWQY8G3",Fashion
cotton button down shirt men,棉质纽扣衬衫男士,,0.06%,自然搜索词,924 ,2.0,B09XX7ND2T/B0CHFJ35WM,"327,512","4,579 ",125 ,2.76%,"94,053 ","1,787 ",3 ,0.0,"9,574 ",0.5,12 ,7.9%,2.1%,$1.04,$0.92 - $1.25,B0C3D5HR1L,4.1%,0.7%,B0C3D5ZWC1,1.9%,1.4%,B0BV269XML,1.9%,0.0%,"B0C3D5HR1L,B0BV269XML,B08SQWCV6W,B0B28RYDQB,B06XWQ82LM,B07HL3K4PB,B0C4FP3JY3,B0CPP5VJ3R,B06W57VDYM,B08Q7Q67XV","Button, Cotton, Shirt, Button Down"
mens clothing clearance sale,男装清仓大甩卖,,0.06%,自然搜索词,918 ,1.0,B087DXNJFV,"303,649","4,509 ",358 ,7.94%,"115,210 ","1,761 ",9 ,0.0,"92,439 ",0.1,18 ,6.3%,2.1%,$0.95,$0.72 - $1.20,B077ZKDQLV,2.2%,1.0%,B0787P86ZZ,2.2%,1.0%,B0BZDLXKTS,2.0%,0.0%,"B077ZKDQLV,B0D3LJM6NT,B078B27NBJ,B07DJBDB82,B077ZXNXG8,B086L69KCL,B08JGBB9N1,B0CXX6QCSY,B0BN5CTRBP,B01L8JJY08","Clearance, Clothing"
a shirts,衬衫,,0.06%,自然搜索词,913 ,1.0,B0CHFG1KHT,"305,809","6,797 ","1,264 ",18.62%,"177,317 ","3,302 ",29 ,2.0,"2,579 ",2.6,2 ,21.6%,4.9%,$1.12,$0.94 - $1.25,B06XW4T56N,10.9%,0.3%,B00W80Z87K,6.7%,2.7%,B00VTVAXPG,4.0%,1.9%,"B00W80Z87K,B00HVVVMM6,B07JBRGFH5,B077ZH6ZRD,B06XW6TLBH,B01AZS4B9C,B077ZJXCTS,B00XC0JBQE,B08F2P8CS9,B09JFV7HHY",Shirt
mens outfits,男装,,0.06%,自然搜索词,911 ,1.0,B0CW3F1BMR,"115,305","13,034 ",434 ,3.33%,"304,773 ","6,479 ",10 ,1.0,"24,677 ",0.5,49 ,8.5%,0.7%,$0.67,$0.51 - $0.81,B0B38CK8T9,3.7%,0.0%,B0CPDKR22Q,2.9%,0.0%,B0BNM711VZ,1.9%,0.7%,"B0BVB6LQPT,B0CNZZ4YPF,B0BNM711VZ,B0C1NC54T4,B0CPDKR22Q,B0CNWZQKY8,B0BBMKDGC2,B0BND7KRFZ,B0BKLVJ68F,B0BHYHYRSR",Outfit
androgynous clothing,雌雄同体的衣服,,0.06%,自然搜索词/SP广告词,910 ,1.0,B0C2H3D3T2,"325,513","4,755 ",62 ,1.31%,"123,571 ","2,363 ",2 ,0.0,498 ,9.6,8 ,7.5%,0.0%,$0.57,$0.43 - $0.73,B095RBMG8K,2.6%,0.0%,B082XQVSGS,2.5%,0.0%,B08THD7TGR,2.4%,0.0%,"B08Y56638M,B08Y3VGD4Y,B0C7QT45QH,B0CN661FLR,B08THD7TGR,B075JB8PWG,B09P5186Q1,B0B5GG9CPR,B0BHSP9KDF,B0B51MKYCB",Clothing
van heusen dress shirts for men,范海森男士礼服衬衫,,0.06%,自然搜索词/品牌广告词,899 ,1.0,B0CHFG1KHT,"37,560","42,164 ",84 ,0.20%,"1,226,361 ","20,548 ",2 ,0.0,349 ,120.8,72 ,18.4%,0.6%,$0.75,$0.50 - $1.35,B08ZRX3WQX,6.8%,0.0%,B009ESZFMC,6.4%,0.6%,B0979KC6CW,5.3%,0.0%,"B06WGLBMVV,B009ESZFMC,B00BM48EWO,B0979J1YVH,B0979HSDWP,B00DU6AJ8Y,B01DWM73UM,B07MJ24SVV,B00GJB29U8,B07DPLVPZ5","Dress Shirt, Dress"
camisa vaquera para hombre,camisa vaquera para hombre,,0.06%,自然搜索词,898 ,2.0,B087F14JLF/B087F3JMFW,"149,740","9,355 ",12 ,0.13%,"272,399 ","4,383 ",1 ,0.0,236 ,39.6,14 ,6.2%,1.3%,$0.66,$0.44 - $0.81,B075WVMPSS,2.2%,1.3%,B007SWRBCS,2.1%,0.0%,B0CGWTC98J,1.9%,0.0%,"B085DG6QJZ,B007SWRBCS,B005DIN04C,B0912T3TXC,B07TYB98FP,B08R5V9KJS,B07KVQKCH8,B06XPB71XM,B005DIGX64,B09J4C79KX",Hombre
men's summer shirts,男士夏季衬衫,,0.06%,自然搜索词,890 ,1.0,B0C2H3D3T2,"316,282","7,065 ",224 ,3.18%,"205,312 ","3,335 ",6 ,0.0,"41,313 ",0.2,35 ,5.0%,0.4%,$1.22,$0.92 - $2.00,B0BVB7THLY,1.8%,0.0%,B0BVB6LQPT,1.6%,0.4%,B0BNMGPLLP,1.6%,0.0%,"B0BVB6LQPT,B0CYZ82W98,B0CP1MNHX5,B0CMGZYLHN,B083P314GB,B077765WMW,B0CJTXZ1HR,B093RZQLVX,B0CZ938PL7,B0CRQJC4RN",Summer
men beach shirts,男士沙滩衫,,0.06%,自然搜索词,886 ,1.0,B0C2H3D3T2,"333,233","5,027 ",899 ,17.90%,"146,196 ","2,466 ",21 ,1.0,"27,465 ",0.2,11 ,9.2%,0.7%,$1.22,$1.10 - $1.61,B0CJTXKT89,3.6%,0.0%,B0CDGPQVKG,3.5%,0.0%,B0BV241H3F,2.2%,0.7%,"B0BV241H3F,B0CJTXKT89,B0CNJRTG4H,B08SQ6HHSG,B0CMH23KSN,B08FHQVRH8,B0CL6WMYZX,B0CJ55SX71,B09NKMNZ6L,B09YRDQRW1","Beach, Shirt"
mens white button down shirt short sleeve,男士白色纽扣衬衫短袖,Y,0.06%,自然搜索词/AC推荐词,881 ,1.0,B09XX7ND2T,"346,196","4,124 ",127 ,3.09%,"84,870 ","1,621 ",3 ,0.0,"3,908 ",1.1,5 ,18.4%,9.2%,,-,B0C3D5HR1L,10.0%,4.6%,B0CR3CQ8LB,5.1%,0.8%,B0C3D5ZWC1,3.3%,3.8%,"B0C3D5HR1L,B0CR3CQ8LB,B06W57VDYM,B000PHK0WG,B09XX7ND2T,B0CP2H2RKN,B0BKFHY9PY,B09Q53NNX5,B0B1TGY65Y,B0CLL12CTC","Shirt, Short, Button, Short Sleeve, White, Sleeve"
pool shirts for men,男士泳池衬衫,,0.06%,自然搜索词,873 ,1.0,B0C2H3D3T2,"328,284","6,417 ",182 ,2.85%,"130,644 ","2,487 ",5 ,0.0,"2,699 ",2.4,41 ,9.1%,1.0%,$1.98,$1.49 - $2.48,B08BFKM7VT,3.8%,0.0%,B071HLPCPS,2.9%,0.7%,B09YRFCLDP,2.4%,0.3%,"B0060JJMNG,B0CPSQZG5L,B0BCN3RSV6,B071HLPCPS,B09YRDQRW1,B0BV241H3F,B07YFCMGZB,B0BQHDH4F6,B0CLL8XPVR,B0C1HQBSFL","Shirt, Pool"
black dress shirt men,黑色正装衬衫男士,,0.06%,SP广告词,872 ,6.0,B0CW3F1BMR/B087F14JLF/B087F6HJHW/B087F3JMFW/B087DXNJFV/B0CHFG1KHT,"447,428","3,140 ",567 ,18.08%,"67,606 ","1,542 ",13 ,0.0,"3,777 ",0.8,36 ,13.4%,4.9%,$1.44,$1.03 - $1.69,B09JFRWZYC,5.2%,3.7%,B00AJOU5W0,4.3%,0.6%,B0CHFGSRLG,4.0%,0.6%,"B09JFZTWVJ,B0CHFGSRLG,B00AJOU5W0,B0CQX2DSVV,B0CR3RGPQ5,B07F2NY4NC,B06XWQ82LM,B07MJ24SVV,B0CN153DJX,B08HH19LB3","Shirt, Dress Shirt, Black, Dress"
white button down shirt men short sleeve,白色纽扣衬衫男士短袖,,0.06%,自然搜索词,857 ,1.0,B09XX7ND2T,"354,981","4,268 ",73 ,1.73%,"108,710 ","1,898 ",2 ,0.0,"3,907 ",1.1,12 ,20.7%,6.3%,$0.83,$0.62 - $1.66,B0C3D5HR1L,8.1%,4.1%,B0CR3CQ8LB,7.1%,0.9%,B0CP2H2RKN,5.5%,1.4%,"B0CP2H2RKN,B0C3D5HR1L,B0CSD62HF4,B000PHK0WG,B0D5H2PGK4,B0CQ24VWTD,B06W57VDYM,B0CR3CQ8LB,B09Q53NNX5,B09N93W21G","Shirt, Short, Button, Short Sleeve, White, Sleeve"
cotton dress shirts for men,男士纯棉礼服衬衫,,0.05%,自然搜索词/视频广告词,837 ,2.0,B0CHFJ35WM/B0CHFG1KHT,"678,840","2,264 ",74 ,3.29%,"50,382 ","1,026 ",2 ,0.0,"6,384 ",0.4,4 ,13.8%,0.0%,$1.05,$0.88 - $1.19,B0195YYKGG,6.5%,0.0%,B0B28SWXWP,3.7%,0.0%,B0CHFJQ82R,3.7%,0.0%,"B0B28SWXWP,B0195YYKGG,B009ESZFLI,B0C2ZDRFTG,B0C24CYMBP,B06Y4FJZWL,B06XW4B43N,B0012OJO8M,B0195YXNSC,B006QHNE04","Dress Shirt, Cotton, Dress"
no tuck shirts for men,男士免冠衬衣,,0.05%,自然搜索词/HR推荐词/SP广告词,828 ,4.0,B087DXNJFV/B087F6HJHW/B087F14JLF/B087F3JMFW,"149,179","11,964 ",7 ,0.06%,"357,241 ","5,069 ",1 ,0.0,617 ,19.4,66 ,7.6%,0.4%,$1.17,$0.88 - $1.48,B0BV257BCZ,2.8%,0.4%,B0D2R1569N,2.5%,0.0%,B0CPTHL7KT,2.2%,0.0%,"B0CNJQJS4G,B0CW3DNSHL,B0CCDM12JB,B0BV257BCZ,B097QJ59X9,B0CQLPRD5W,B0CWV5ZHJN,B0CM6R3TG5,B0CM2TT29C,B097QKBH7L",Shirt
mens summer shirt,男士夏季衬衫,,0.05%,自然搜索词,825 ,1.0,B0C2H3D3T2,"350,113","6,035 ",787 ,13.05%,"155,946 ","2,673 ",18 ,0.0,"13,964 ",0.4,12 ,9.6%,1.4%,$1.09,$0.81 - $1.36,B0BV241H3F,4.3%,0.9%,B0BV236Z29,2.8%,0.0%,B0C2H3D3T2,2.5%,0.5%,"B0BV241H3F,B0CP1MNHX5,B0CYZ82W98,B0CL6TQPCP,B077765WMW,B0BQK6TQSC,B0CMGZYLHN,B093RZQLVX,B0C3D886WL,B0CZ98VMJ1","Summer, Shirt"
white button down shirt,白色纽扣衬衫,,0.05%,SP广告词,824 ,3.0,B09XX7ND2T/B0CHFG1KHT/B087F14JLF,"440,583","3,092 ",253 ,8.21%,"62,298 ","1,505 ",6 ,0.0,"52,850 ",0.1,105 ,10.8%,1.0%,$1.24,$0.93 - $1.54,B09Q8XG9DW,4.5%,1.0%,B00YBQT6WW,3.9%,0.0%,B0CKNHW9RH,2.4%,0.0%,"B09JFR8HTV,B06XWPGXL2,B0CQKD183P,B09PZXDHR3,B00YBQT6WW,B0C42Q9DRQ,B0BPDK7BBZ,B000PHL8DG,B01DWNHMS4,B01EMLQBAU","Button, White, Button Down, Shirt"
mens linen button down shirt,男式亚麻纽扣衬衫,,0.05%,自然搜索词/SP广告词,822 ,1.0,B0C2H3D3T2,"336,901","4,899 ",176 ,3.61%,"130,575 ","2,009 ",4 ,1.0,"2,901 ",1.7,37 ,15.7%,0.0%,$1.09,$0.81 - $1.36,B0BVB6LQPT,6.0%,0.0%,B0C2H34MHG,4.9%,0.0%,B0D258ZKSG,4.7%,0.0%,"B0BVB6LQPT,B086D42D51,B0C4FMK4HY,B0CLL2CCJR,B0CQ24VWTD,B0C3D89DTG,B0D5B5BFD3,B0C6SLS3NB,B083P4C5C4,B0B1TGY65Y","Linen, Shirt, Button Down, Button"
button down shirt men short sleeve,纽扣衬衫男士短袖,,0.05%,自然搜索词,821 ,1.0,B09XX7ND2T,"351,258","4,263 ",695 ,16.32%,"104,122 ","1,661 ",16 ,0.0,"10,587 ",0.4,29 ,6.4%,1.4%,,-,B07JX84RQ7,2.5%,0.0%,B0BVB6LQPT,2.0%,1.4%,B0CWVFC899,1.9%,0.0%,"B0BVB6LQPT,B07JX84RQ7,B09Q5DYY7P,B0CQLRTRVM,B09H35F95W,B0CR3QR64C,B07JHY5F25,B0CJTZLCQ2,B06W57VDYM,B0BNL5H6Y7","Shirt, Short, Button, Short Sleeve, Sleeve"
camp collar shirt men,营地领衬衫男,Y,0.05%,自然搜索词/AC推荐词/SP广告词,820 ,1.0,B0C2H3D3T2,"359,491","4,793 ",130 ,2.72%,"135,779 ","2,132 ",3 ,0.0,"4,611 ",1.0,26 ,13.4%,0.0%,$1.23,$0.92 - $1.53,B0CP372HT8,4.7%,0.0%,B0C2H785QK,4.4%,0.0%,B0C2H3D3T2,4.3%,0.0%,"B0CQYX5V1Z,B0CPSSL5C1,B0C1KHWDL5,B0C4FNMQ41,B0CK2JWMV9,B0BKT3GH7G,B0CT2T1D1C,B0CPHR74CH,B0CP1M3JHK,B0C2H3D3T2","Shirt, Camp Collar, Collar"
dress shirts men,衬衫男装,,0.05%,自然搜索词,809 ,4.0,B087F3JMFW/B087DXNJFV/B087F14JLF/B0CHFG1KHT,"709,716","2,467 ",228 ,9.26%,"61,074 ","1,021 ",6 ,0.0,"8,535 ",0.3,29 ,10.5%,0.0%,$1.20,$0.94 - $1.55,B009ESZFFO,4.4%,0.0%,B08ZRX3WQX,3.4%,0.0%,B000PHG4N0,2.8%,0.0%,"B0058YUDGE,B009ESZFFO,B09JFZTWVJ,B000PHG4N0,B0058YU558,B0CQX29KPG,B06Y4FWGTJ,B0C49Y4YXF,B0CN15P53X,B0CR3RGPQ5","Dress Shirt, Dress"
mens button down dress shirt,男士系扣正装衬衫,,0.05%,自然搜索词/SP广告词,805 ,5.0,B087DXNJFV/B0CHFG1KHT/B087F6HJHW/B0CHFJ35WM/B087F14JLF,"728,174","1,879 ",62 ,3.31%,"55,805 ",820 ,2 ,0.0,"7,440 ",0.3,4 ,17.9%,0.0%,$1.87,$1.40 - $2.34,B074T53VXF,7.7%,0.0%,B0D45PLBJJ,6.1%,0.0%,B000PHL8DG,4.1%,0.0%,"B09JFZTWVJ,B074T53VXF,B009ESZFFO,B06Y4FWGTJ,B000PHL8DG,B009AYMECY,B0C2ZFS2PB,B00DU6AKD8,B087DXNJFV,B079ZQRFF1","Button, Dress Shirt, Shirt, Dress"
white shirt for men,男士白衬衫,,0.05%,自然搜索词/视频广告词,802 ,1.0,B0CHFG1KHT,"354,989","4,528 ",460 ,10.18%,"112,200 ","1,793 ",11 ,0.0,"51,165 ",0.1,25 ,8.8%,1.7%,$1.01,$0.76 - $1.26,B08638FL5G,3.8%,0.6%,B00NOY2OUS,2.7%,1.2%,B0CZLJRDMJ,2.3%,0.0%,"B06WGXDZSJ,B011QQE1HE,B000HOBYDG,B00NOY2OUS,B00VTV8ISK,B077ZCT9SS,B09JFR8HTV,B075ZZ7XKD,B0CLKZK2KN,B00VTV7E5S","Shirt, White"
big and tall dress shirts,大而高的礼服衬衣,,0.05%,自然搜索词/品牌广告词/视频广告词,791 ,1.0,B0CHFG1KHT,"372,237","3,715 ",589 ,15.89%,"86,080 ","1,596 ",14 ,5.0,"8,630 ",0.4,16 ,12.2%,2.9%,$0.50,$0.37 - $0.62,B07RJTBNKY,4.3%,0.0%,B07DPLY9WT,4.1%,1.0%,B0CGTHNW5C,3.8%,1.9%,"B07DPLY9WT,B07RJTBNKY,B007GBZQXW,B07CL6W81T,B08GQ85B9T,B06XSLQB85,B000PHG4N0,B07CJT32DC,B01JZX6OBQ,B0979GZDKL","big, Tall, Dress, Big And Tall"
kenneth cole shirts for men,KENNETH COLE男士衬衫,,0.05%,自然搜索词,785 ,1.0,B087DXNJFV,"356,026","4,295 ",117 ,2.74%,"105,915 ","1,703 ",3 ,0.0,397 ,10.8,15 ,17.5%,1.4%,$1.29,$0.98 - $1.62,B0C1PFNM2Q,6.7%,1.4%,B0C1PFT8JS,6.2%,0.0%,B0C1Q4FTPT,4.6%,0.0%,"B0C1PFT8JS,B0C1PS2F92,B07HG8B7Y8,B0CRZV9HLZ,B01LYB4IV3,B07F2P2GJK,B0CMJSD2W6,B07DPM5PV9,B0BV257BCZ,B09HL2GYSX",Shirt
cool shirts for men,凉爽的男士衬衫,,0.05%,自然搜索词,776 ,1.0,B0C2H3D3T2,"152,553","13,105 ",30 ,0.23%,"343,909 ","5,304 ",1 ,0.0,"94,610 ",0.1,22 ,8.4%,0.4%,$1.99,$1.49 - $2.49,B01GVSC9R6,5.0%,0.4%,B097J68PX7,1.8%,0.0%,B0B728NH19,1.6%,0.0%,"B07DRMT92L,B08D6V4K3L,B087WJVDNR,B072BMXDRC,B077XNJPMS,B07RZWNGTW,B083P314GB,B0B728NH19,B07JQPVG22,B004HTURZ8","Shirt, Cool"
all black outfit for men,男士全黑套装,,0.05%,自然搜索词,762 ,2.0,B0CW3F1BMR/B087F14JLF,"707,848","1,872 ",55 ,2.96%,"40,614 ",850 ,2 ,0.0,"10,885 ",0.2,4 ,21.4%,0.0%,$0.37,$0.28 - $0.46,B09QCS582R,9.3%,0.0%,B09QCTHP11,6.1%,0.0%,B0BFKBKKMD,6.1%,0.0%,"B09QCTHP11,B0CPL7D9L9,B0BNDSL94T,B0BQHJ4NGX,B09Y58Q3TL,B0BJTZQJPY,B08CB8XKL8,B09L8HKNL8,B0BTHYWCN1,B0CJ94742M","Black, Outfit"
white dress shirts for men,白色的男士礼服衬衫,,0.05%,品牌广告词,759 ,3.0,B0CHFG1KHT/B09XX7ND2T/B087F14JLF,"408,873","3,703 ",374 ,10.10%,"88,665 ","1,642 ",9 ,0.0,"4,409 ",0.8,30 ,14.6%,3.5%,$0.68,$0.50 - $0.85,B009ESZFMC,7.5%,2.3%,B08ZRX3WQX,3.6%,0.0%,B09JFR5KZQ,3.5%,1.2%,"B009ESZFMC,B09JFR8HTV,B00BM48FP0,B000PHL8DG,B01DWM73UM,B000PHI5LE,B0CHFG1KHT,B0058YUDGE,B00GJB267O,B0CQKD183P","Dress Shirt, White, Dress"
chubbies shirts for men,男士胖乎乎的衬衫,,0.05%,自然搜索词,754 ,1.0,B0C2H3D3T2,"357,507","6,011 ",177 ,2.96%,"145,125 ","2,655 ",5 ,0.0,308 ,19.5,23 ,14.9%,4.8%,$0.88,$0.50 - $1.07,B0BQ2BCHF7,6.1%,4.8%,B0D6WM863V,5.4%,0.0%,B0D6WKCDP4,3.5%,0.0%,"B0BRSFSS6J,B07NSHVCG3,B0BQ2BCHF7,B0BV6QG4BK,B0CRQJ6CHX,B01GH5JFKW,B0D48NNX65,B0BRXMFWSM,B076Z6FB43,B0861WT87B",Shirt
shirt men,男士衬衫,,0.05%,SP广告词,753 ,4.0,B087F3JMFW/B087F6HJHW/B0C2H3D3T2/B087DXNJFV,"198,779","8,906 ",723 ,8.12%,"179,401 ","3,899 ",17 ,0.0,"64,264 ",0.1,17 ,6.3%,0.0%,$1.14,$1.00 - $1.40,B0BV241H3F,3.2%,0.0%,B0CZLJRDMJ,1.6%,0.0%,B0CPTHL7KT,1.5%,0.0%,"B0787P86ZZ,B0BV241H3F,B077ZJXCTS,B0BPDZ61XX,B01GH5GSLG,B00NOY3JSE,B0CSWGBR4L,B00NOY3JKW,B0785VV446,B0017SKHF2",Shirt
untucked dress shirts for men,男士无褶正装衬衫,,0.05%,自然搜索词/SP广告词,749 ,2.0,B087DXNJFV/B087F3JMFW,"380,933","3,602 ",7 ,0.20%,"74,369 ","1,588 ",1 ,0.0,"1,008 ",3.6,4 ,5.9%,0.8%,$1.21,$1.04 - $1.52,B097QK4M4L,2.0%,0.0%,B0BV27DL6Y,1.9%,0.8%,B0D1V4Q8KD,1.9%,0.0%,"B0D1V4Q8KD,B0BV27DL6Y,B0CCDKT3X5,B097QK4M4L,B073GCMGVL,B097QKLFLB,B0BNL5GFJN,B0CQLRQCYF,B0D4MC6LP1,B0C81WZZ4W","Dress Shirt, untucked, Dress"
wrinkle free shirts men,男士防皱衬衣,,0.05%,自然搜索词/SP广告词,749 ,1.0,B087DXNJFV,"369,735","3,675 ",112 ,3.08%,"106,675 ","1,764 ",3 ,0.0,"3,485 ",1.1,71 ,6.5%,0.9%,$1.21,$0.91 - $1.50,B0CLGR2NNY,2.5%,0.0%,B079ZZBVZK,2.3%,0.9%,B0CL55L3B5,1.7%,0.0%,"B0BNL5GFJN,B0CL55L3B5,B0BV24XH59,B09JFR8HTV,B079ZQRFF1,B0CM2VPF7N,B079ZZBVZK,B0CLGR2NNY,B0D4LXBGRL,B07BN1TY69",Wrinkle Free
mens tropical shirts,男式热带衬衫,,0.05%,自然搜索词/SP广告词,742 ,1.0,B0C2H3D3T2,"364,557","3,912 ",17 ,0.46%,"115,839 ","1,707 ",1 ,2.0,"3,978 ",1.0,96 ,7.8%,3.2%,$1.07,$0.80 - $1.34,B0BL137H3D,2.9%,1.3%,B0CDGQ82NG,2.6%,0.6%,B0C1BCTNW9,2.3%,1.3%,"B0BL137H3D,B08SQ39PY5,B0C8M9KYXF,B0CY1VBGW9,B09LVJKN4T,B0C5JDG61W,B089Y2MBGZ,B0CJTZCHV3,B0CT2SP1K2,B0CSJV4G6M",Tropical
mens tropical shirts short sleeve,男士热带衬衫短袖,,0.05%,自然搜索词,735 ,1.0,B0C2H3D3T2,"362,353","4,452 ",21 ,0.48%,"114,690 ","1,932 ",1 ,0.0,"3,427 ",1.3,15 ,11.6%,2.2%,,-,B0CDGQ82NG,5.4%,0.6%,B09F34ZCR3,3.3%,0.6%,B0BL137H3D,3.0%,1.1%,"B08SQ39PY5,B0CSJQPY19,B0BL137H3D,B09LVJKN4T,B0CP1S82MC,B0CN6BZRTJ,B0CJTZCHV3,B09Y59M7RZ,B089Y2MBGZ,B0CDGTZ7LW","Tropical, Short, Sleeve, Short Sleeve"
beach button up shirts for men,男士沙滩纽扣衬衫,,0.05%,自然搜索词/SP广告词,733 ,1.0,B0C2H3D3T2,"378,967","4,923 ",143 ,2.91%,"131,150 ","1,939 ",4 ,0.0,"4,131 ",1.2,21 ,9.9%,1.2%,$1.15,$0.87 - $1.45,B0BV241H3F,5.2%,1.2%,B0C2H3D3T2,2.4%,0.0%,B0C2H58ZDM,2.3%,0.0%,"B0BV241H3F,B0CP1SNNRN,B08SQ6HHSG,B0BKFXG8SG,B08VMWYTZ9,B0CL6W4BHQ,B0CWH3LH7N,B0CQ1KKKGJ,B0CZ938PL7,B0CLKZNGT5","Beach, Button, Button Up"
mens untucked dress shirts,男士开襟衬衫,,0.05%,自然搜索词,733 ,1.0,B087DXNJFV,"371,040","3,412 ",4 ,0.12%,"95,714 ","1,523 ",1 ,0.0,"1,012 ",3.4,8 ,5.2%,1.6%,$1.23,$0.92 - $1.53,B0D1V3TYSG,1.8%,0.0%,B073GCMGVL,1.7%,0.8%,B0BV24XH59,1.7%,0.8%,"B0BV27DL6Y,B0D1V3TYSG,B0CCDKT3X5,B0BNL5GFJN,B097QK4M4L,B0CW3CYG2B,B0C8HTR2NR,B097QKLFLB,B0C81WZZ4W,B073GCMGVL","Dress Shirt, untucked, Dress"
